episode,timestep,reward,waiting_time,mean_speed,elapsed_s
1,720,-36.62,75.7602,0.8354,110.92
2,1440,-38.78,153.1198,0.7339,161.83
3,2160,-19.78,26.9204,1.1869,225.34
4,2880,-33.97,38.2177,0.4331,317.47
5,3600,-50.53,25.0,1.3324,399.91
6,4320,-16.01,10.9268,1.671,466.66
7,5040,-14.9,33.0473,0.7259,532.49
8,5760,-15.9,8.547,1.3371,600.01
9,6480,-22.72,30.9829,0.6253,665.7
10,7200,-11.47,21.4667,1.7016,724.67
11,7920,-8.41,17.0,3.2745,773.8
12,8640,-12.98,10.3514,0.9575,820.29
13,9360,-9.32,7.3171,4.0741,863.13
14,10080,-8.92,26.2,4.3835,908.92
15,10800,-10.14,3.3448,5.1802,950.34
16,11520,-8.46,3.25,5.0306,991.45
17,12240,-8.96,2.1923,6.7345,1032.42
18,12960,-8.66,4.4333,4.0354,1073.82
19,13680,-8.53,1.1818,5.513,1116.08
20,14400,-10.46,7.1667,7.0849,1155.67
21,15120,-9.45,6.9259,4.8633,1194.4
22,15840,-8.19,1.4444,4.7053,1232.37
23,16560,-8.56,5.35,3.7791,1267.08
24,17280,-8.18,0.9524,6.6382,1375.3
25,18000,-8.21,1.0,7.494,1494.52
26,18720,-8.27,3.6,4.7532,1615.84
27,19440,-8.25,0.5926,8.4102,1738.38
28,20160,-7.74,0.9333,9.3235,1850.42
29,20880,-7.78,0.4545,8.0084,1972.17
30,21600,-8.06,3.85,7.8815,2097.69
31,22320,-7.93,1.4667,7.0023,2226.96
32,23040,-8.37,2.5667,5.46,2369.73
33,23760,-8.24,1.0,5.6408,2499.09
34,24480,-8.44,0.9,6.4279,2636.04
35,25200,-7.9,0.3889,9.0515,2767.31
36,25920,-7.93,0.1667,8.5058,2907.25
37,26640,-7.64,0.6471,8.3099,3042.42
38,27360,-8.58,2.6522,6.4234,3171.37
39,28080,-7.84,0.4286,9.8947,3293.1
40,28800,-7.69,0.7059,9.1749,3415.32
41,29520,-7.54,0.8889,7.7013,3533.66
42,30240,-7.49,0.5,8.8007,3654.59
43,30960,-7.39,0.0,8.86,3771.94
44,31680,-7.44,2.5556,6.9642,3882.59
45,32400,-7.29,0.3889,8.1589,4006.6
46,33120,-7.28,0.7143,9.7589,4123.77
47,33840,-7.26,0.3333,8.7034,4244.48
48,34560,-7.28,0.3077,10.8895,4367.78
49,35280,-7.42,0.85,8.3394,4490.39
50,36000,-7.35,0.8947,8.4654,4621.2
51,36720,-7.27,0.7,7.117,4739.73
52,37440,-7.23,0.2222,8.0048,4853.24
53,38160,-7.34,0.2143,9.8842,4981.96
54,38880,-7.31,0.8125,7.6038,5110.68
55,39600,-7.24,0.0,10.914,5240.92
56,40320,-7.28,1.1111,9.4457,5316.07
57,41040,-7.25,0.4667,9.1134,5359.38
58,41760,-7.21,0.3529,9.612,5404.3
59,42480,-7.24,0.3077,10.9098,5446.04
60,43200,-7.22,4.4286,5.9502,5489.51
61,43920,-7.24,0.6,8.1565,5530.41
62,44640,-7.28,0.6429,8.6722,5587.34
63,45360,-7.25,0.3529,8.4191,5627.48
64,46080,-7.47,0.4286,10.3464,5663.39
65,46800,-7.3,0.5333,10.1056,5701.83
66,47520,-7.22,1.1333,9.0357,5741.56
67,48240,-7.31,0.2353,9.3195,5781.42
68,48960,-7.24,0.6923,9.9777,5820.2
69,49680,-7.23,0.2143,7.2907,5860.49
70,50400,-7.2,0.1667,10.2324,5900.89
71,51120,-7.22,1.8462,8.808,5942.3
72,51840,-7.22,0.8125,7.7436,5983.94
73,52560,-7.23,0.4118,9.4359,6023.28
74,53280,-7.2,2.7143,8.1098,6063.81
75,54000,-7.28,1.0,10.6634,6106.51
76,54720,-7.2,1.0,7.78,6148.56
77,55440,-7.3,0.5263,8.8612,6191.73
78,56160,-7.21,0.3571,10.0052,6233.34
79,56880,-7.22,0.3125,8.8095,6275.41
80,57600,-7.25,0.2308,10.534,6322.26
81,58320,-7.28,0.5333,10.0581,6364.93
82,59040,-7.21,0.2,9.6785,6409.95
83,59760,-7.2,1.1429,9.8853,6451.04
84,60480,-7.22,0.0,11.1622,6490.97
85,61200,-7.35,0.0,10.945,6532.12
86,61920,-7.3,0.9231,8.5313,6578.07
87,62640,-7.26,0.5,11.9786,6619.8
88,63360,-7.43,0.6667,10.4793,6664.28
89,64080,-7.21,0.2,8.6314,6700.3
90,64800,-7.2,0.0,11.863,6740.15
91,65520,-7.19,1.2143,8.2213,6782.29
92,66240,-7.22,0.4706,9.7502,6827.27
93,66960,-7.33,0.8235,8.0119,6871.98
94,67680,-7.22,1.1765,7.5896,6915.57
95,68400,-7.56,0.6923,8.7553,6957.88
96,69120,-7.2,1.0714,8.1702,7001.42
97,69840,-7.2,2.0,8.8154,7047.05
98,70560,-7.23,0.3571,9.4337,7093.78
99,71280,-7.23,0.2143,10.4094,7137.77
100,72000,-7.27,0.3125,7.8946,7174.59
101,72720,-7.22,0.0,12.7211,7214.69
102,73440,-7.24,0.0,10.2735,7258.89
103,74160,-7.24,0.0,9.7888,7304.89
104,74880,-7.25,0.3889,6.6501,7348.19
105,75600,-7.24,0.3077,8.3103,7390.78
106,76320,-7.36,0.2941,8.0945,7437.12
107,77040,-7.22,0.7333,8.5667,7478.96
108,77760,-7.39,1.4615,7.0994,7520.54
109,78480,-7.23,0.0625,10.1943,7562.3
110,79200,-7.21,0.0,8.9516,7605.04
111,79920,-7.2,0.4167,10.6819,7646.35
112,80640,-7.27,0.0,11.6821,7686.47
113,81360,-7.2,0.4,9.3716,7728.07
114,82080,-7.29,1.1765,8.434,7768.08
115,82800,-7.22,0.8824,9.9792,7811.08
116,83520,-7.21,0.2353,8.9221,7852.47
117,84240,-7.26,0.2632,6.4204,7895.73
118,84960,-7.21,0.5,9.279,7937.68
119,85680,-7.24,0.3333,11.417,7978.49
120,86400,-7.21,0.0,11.7731,8020.46
121,87120,-7.19,0.0,9.8781,8060.94
122,87840,-7.42,0.3333,10.4184,8106.19
123,88560,-7.22,0.7778,9.144,8152.15
124,89280,-7.35,0.0,10.7203,8192.85
125,90000,-7.3,0.375,9.2026,8250.1
126,90720,-7.22,0.2857,9.5395,8381.5
127,91440,-7.33,1.8333,6.6635,8498.13
128,92160,-7.2,1.1765,9.0288,8618.78
129,92880,-7.22,0.3333,8.9338,8738.08
130,93600,-7.21,0.0,10.2869,8848.69
131,94320,-7.26,1.0588,7.0779,8962.01
132,95040,-7.24,0.0,7.9955,9074.02
133,95760,-7.23,0.8125,7.6045,9192.77
134,96480,-7.23,0.2308,11.0861,9307.22
135,97200,-7.21,0.2667,8.0324,9426.41
136,97920,-7.51,1.0,7.4645,9544.86
137,98640,-7.53,0.5294,7.7671,9664.22
138,99360,-7.31,0.6471,9.7078,9782.89
139,100080,-7.22,0.0,10.471,9898.28
140,100800,-7.36,1.2778,8.6177,10014.42
141,101520,-7.23,0.7143,8.0877,10131.22
142,102240,-7.21,0.0,10.8252,10252.15
143,102960,-7.57,1.3333,5.8499,10371.61
144,103680,-7.19,1.2857,8.398,10491.47
145,104400,-7.35,1.0,8.8756,10607.17
146,105120,-7.35,0.3529,6.9436,10723.38
147,105840,-7.38,0.75,7.4547,10841.57
148,106560,-7.38,0.5625,7.8809,10958.41
149,107280,-7.31,0.25,7.8023,11077.8
150,108000,-7.27,0.3571,9.5358,11191.86
151,108720,-7.28,0.8,7.8895,11310.38
