episode,timestep,reward,waiting_time,mean_speed,elapsed_s
1,720,-11.85,1185.0,0.1365,44.78
2,1440,-26.92,2692.0,0.0439,95.75
3,2160,-9.28,928.0,0.0787,138.5
4,2880,-6.54,654.0,0.0383,177.91
5,3600,-10.21,1021.0,0.1895,216.81
6,4320,-8.61,861.0,0.0819,258.74
7,5040,-4.41,441.0,0.08,309.39
8,5760,-4.45,445.0,0.1238,344.82
9,6480,-5.6,560.0,0.0791,373.31
10,7200,-21.81,2181.0,0.0005,405.84
11,7920,-1.66,166.0,0.3159,429.96
12,8640,-8.69,869.0,0.1503,454.12
13,9360,-16.8,1680.0,0.0576,474.26
14,10080,-2.2,220.0,0.079,493.72
15,10800,-1.15,115.0,0.0817,513.92
16,11520,-3.77,377.0,0.1188,532.41
17,12240,-0.98,98.0,0.0786,555.99
18,12960,-45.95,4595.0,0.0,583.81
19,13680,-0.38,38.0,0.5739,609.51
20,14400,-1.41,141.0,0.0,635.2
21,15120,-0.04,4.0,0.3116,662.89
22,15840,-0.26,26.0,0.1712,687.47
23,16560,-0.2,20.0,0.4722,706.99
24,17280,-1.27,127.0,0.0408,726.23
25,18000,-2.78,278.0,0.0186,746.8
26,18720,-9.24,924.0,0.1719,766.09
27,19440,-0.03,3.0,0.2711,782.72
28,20160,-1.94,194.0,0.1084,800.26
29,20880,-1.47,147.0,0.4295,818.79
30,21600,-0.12,12.0,0.0004,836.15
31,22320,-0.15,15.0,0.4657,852.24
32,23040,-0.12,12.0,0.0942,873.1
33,23760,0.31,-31.0,0.1226,896.01
34,24480,-0.36,36.0,0.372,916.62
35,25200,-0.92,92.0,0.1118,937.79
36,25920,-0.23,23.0,0.3329,957.53
37,26640,-0.15,15.0,0.5481,979.27
38,27360,-0.12,12.0,0.393,999.62
39,28080,-0.13,13.0,0.4861,1019.34
40,28800,-0.07,7.0,0.0938,1039.11
41,29520,-0.25,25.0,0.2035,1054.84
42,30240,-0.3,30.0,0.0617,1069.13
43,30960,-0.08,8.0,0.0,1083.62
44,31680,-0.12,12.0,0.0017,1097.74
45,32400,-0.68,68.0,0.157,1112.86
46,33120,-0.32,32.0,0.2531,1130.01
47,33840,-0.04,4.0,0.1376,1145.66
48,34560,-0.16,16.0,0.3701,1165.49
49,35280,-0.03,3.0,0.2228,1182.35
50,36000,-0.0,0.0,0.9678,1198.19
51,36720,-0.42,42.0,0.0,1212.15
52,37440,-0.25,25.0,0.0955,1228.43
53,38160,-0.62,62.0,0.3159,1243.37
54,38880,-0.02,2.0,0.9425,1257.98
55,39600,-0.15,15.0,0.0,1277.35
56,40320,-0.15,15.0,0.5473,1300.79
57,41040,-0.04,4.0,0.0002,1322.11
58,41760,-0.15,15.0,0.1592,1343.21
59,42480,-0.11,11.0,0.5317,1364.02
60,43200,-0.06,6.0,0.5286,1382.35
61,43920,-0.15,15.0,0.1903,1401.83
62,44640,-0.45,45.0,0.3512,1419.25
63,45360,-0.09,9.0,0.0,1438.02
64,46080,-0.02,2.0,0.8356,1454.49
65,46800,-0.2,20.0,0.1351,1476.03
66,47520,-0.17,17.0,0.5407,1494.04
67,48240,-0.14,14.0,0.3886,1511.6
68,48960,-0.17,17.0,0.0,1524.9
69,49680,-0.17,17.0,0.3323,1540.04
70,50400,-0.18,18.0,0.4653,1557.41
71,51120,-0.28,28.0,0.2426,1581.27
72,51840,-0.14,14.0,0.3085,1610.17
73,52560,-0.1,10.0,0.4858,1632.35
74,53280,-0.06,6.0,0.6718,1654.19
75,54000,-0.01,1.0,0.1445,1677.84
76,54720,-0.06,6.0,0.6879,1704.04
77,55440,-0.02,2.0,0.9597,1728.83
78,56160,-0.07,7.0,0.5944,1755.48
79,56880,-0.05,5.0,0.7385,1781.62
80,57600,-0.07,7.0,0.4096,1805.14
81,58320,-0.06,6.0,0.0017,1833.04
82,59040,-0.06,6.0,0.7404,1856.02
83,59760,-0.12,12.0,0.5447,1883.94
84,60480,-0.16,16.0,0.1907,1906.28
85,61200,-0.07,7.0,0.4911,1929.03
86,61920,-0.15,15.0,0.0,1952.32
87,62640,-0.21,21.0,0.2926,1975.17
88,63360,-0.0,0.0,1.0,1996.56
89,64080,-0.11,11.0,0.3199,2017.93
90,64800,-0.02,2.0,0.0113,2039.59
91,65520,-0.14,14.0,0.0949,2061.29
92,66240,-0.05,5.0,0.0,2082.78
93,66960,-0.23,23.0,0.4416,2104.3
94,67680,-0.09,9.0,0.4754,2125.74
95,68400,0.0,0.0,0.9114,2147.45
96,69120,-0.07,7.0,0.0639,2170.08
97,69840,-0.05,5.0,0.4718,2191.58
98,70560,-0.14,14.0,0.0,2213.19
99,71280,-0.05,5.0,0.0,2235.02
100,72000,-0.18,18.0,0.4818,2256.59
101,72720,-0.04,4.0,0.5291,2277.95
102,73440,-0.02,2.0,0.2812,2299.39
103,74160,-0.05,5.0,0.0,2321.2
104,74880,-0.06,6.0,0.7152,2342.74
105,75600,-0.15,15.0,0.4286,2364.22
106,76320,-0.03,3.0,0.0456,2385.6
107,77040,-0.03,3.0,0.2357,2407.04
108,77760,-0.04,4.0,0.2567,2428.43
109,78480,-0.16,16.0,0.3093,2450.12
110,79200,-0.03,3.0,0.0189,2472.82
111,79920,-0.0,0.0,0.9593,2494.19
112,80640,-0.15,15.0,0.3133,2515.61
113,81360,-0.19,19.0,0.3923,2537.12
114,82080,-0.02,2.0,0.1863,2558.51
115,82800,-0.02,2.0,0.9486,2579.9
116,83520,-0.12,12.0,0.2831,2601.54
117,84240,-0.04,4.0,0.5894,2622.85
118,84960,-0.0,0.0,0.0102,2644.18
119,85680,-0.03,3.0,0.5354,2665.55
120,86400,-0.07,7.0,0.4341,2687.04
121,87120,-0.04,4.0,0.2306,2708.48
122,87840,-0.14,14.0,0.4142,2729.94
123,88560,-0.24,24.0,0.0001,2751.39
124,89280,-0.07,7.0,0.588,2773.5
125,90000,-0.08,8.0,0.0952,2795.21
126,90720,-0.06,6.0,0.0027,2816.41
127,91440,-0.04,4.0,0.3261,2838.06
128,92160,-0.07,7.0,0.4025,2859.59
129,92880,-0.04,4.0,0.108,3348.91
