episode,timestep,reward,waiting_time,mean_speed,elapsed_s
1,720,-58.42,5842.0,0.0559,44.78
2,1440,-22.81,2281.0,0.0,95.75
3,2160,-32.04,3204.0,0.1283,138.5
4,2880,-21.36,2136.0,0.058,177.91
5,3600,-12.53,1253.0,0.0857,216.81
6,4320,-25.41,2541.0,0.0573,258.74
7,5040,-2.02,202.0,0.1563,309.39
8,5760,-16.63,1663.0,0.1991,344.82
9,6480,-0.52,52.0,0.0,373.31
10,7200,-1.53,153.0,0.0981,405.84
11,7920,-1.23,123.0,0.0924,429.96
12,8640,-0.28,28.0,0.0,454.12
13,9360,-0.14,14.0,0.2596,474.26
14,10080,0.0,0.0,1.0,493.72
15,10800,0.0,0.0,1.0,513.92
16,11520,-0.02,2.0,0.8562,532.41
17,12240,-0.15,15.0,0.7104,555.99
18,12960,0.0,0.0,1.0,583.81
19,13680,-0.03,3.0,0.2026,609.51
20,14400,0.0,0.0,0.9506,635.2
21,15120,-0.12,12.0,0.438,662.89
22,15840,-0.34,34.0,0.298,687.47
23,16560,0.0,0.0,1.0,706.99
24,17280,0.0,0.0,1.0,726.23
25,18000,0.0,0.0,1.0,746.8
26,18720,-0.02,2.0,0.6786,766.09
27,19440,0.0,0.0,0.9185,782.72
28,20160,-0.0,0.0,1.0,800.26
29,20880,0.0,0.0,1.0,818.79
30,21600,-0.01,1.0,0.4661,836.15
31,22320,-0.02,2.0,0.4745,852.24
32,23040,0.0,0.0,1.0,873.1
33,23760,0.0,0.0,1.0,896.01
34,24480,0.0,0.0,1.0,916.62
35,25200,-0.02,2.0,0.752,937.79
36,25920,0.0,0.0,1.0,957.53
37,26640,0.0,0.0,0.9945,979.27
38,27360,-0.1,10.0,0.4807,999.62
39,28080,0.0,0.0,1.0,1019.34
40,28800,-0.02,2.0,0.9732,1039.11
41,29520,-0.0,0.0,0.7446,1054.84
42,30240,-0.02,2.0,0.8899,1069.13
43,30960,-0.01,1.0,0.0038,1083.62
44,31680,-0.02,2.0,0.8338,1097.74
45,32400,-0.06,6.0,0.4329,1112.86
46,33120,-0.05,5.0,0.0,1130.01
47,33840,-0.02,2.0,0.9805,1145.66
48,34560,-0.04,4.0,0.0003,1165.49
49,35280,-0.0,0.0,0.9281,1182.33
